scenario,network,iteration,is_warmup,timestamp,handshake_ms,cert_transfer_ms,ttfb_ms,ttlb_ms,server_flight1_bytes,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
B,edge,warmup-04,True,2026-06-28T16:56:59.805962+00:00,103.48176956176758,101.56702995300293,104.54988479614258,106.1561107635498,7876,0.007931000000013455,0.0056730000000015934,13.604000000015048,2%,9240
B,edge,warmup-05,True,2026-06-28T16:57:04.541562+00:00,,,233.4914207458496,235.07356643676758,7876,0.007213999999976295,0.005784999999988827,12.998999999965122,2%,9200
B,edge,data-001,False,2026-06-28T16:57:09.172153+00:00,103.8048267364502,101.70698165893555,104.99310493469238,106.37855529785156,7876,0.008767000000005964,0.004410999999990395,13.17799999999636,2%,9456
B,edge,data-002,False,2026-06-28T16:57:13.778752+00:00,103.81340980529785,101.70793533325195,105.30424118041992,106.71734809875488,7876,0.008750999999989517,0.004297999999991475,13.048999999980992,2%,9308
B,edge,data-004,False,2026-06-28T16:57:22.068869+00:00,104.30002212524414,101.75633430480957,105.9260368347168,107.21850395202637,7876,0.00768199999998842,0.005528999999995676,13.210999999984097,2%,9276
B,edge,data-005,False,2026-06-28T16:57:26.671983+00:00,103.46651077270508,101.70698165893555,104.45880889892578,105.79276084899902,7876,0.007196999999990794,0.006241000000002828,13.437999999993622,2%,9248
B,edge,data-006,False,2026-06-28T16:57:31.273631+00:00,103.67727279663086,101.65190696716309,104.75516319274902,106.35900497436523,7876,0.005268000000000939,0.008364999999997735,13.632999999998674,2%,9196
B,edge,data-007,False,2026-06-28T16:57:35.885940+00:00,103.51729393005371,101.53698921203613,104.86888885498047,106.21809959411621,7876,0.009369999999989886,0.004073000000005322,13.442999999995209,2%,9304
B,edge,data-008,False,2026-06-28T16:57:40.498984+00:00,103.81221771240234,101.6530990600586,105.07416725158691,106.46224021911621,7876,0.010849000000007436,0.0029389999999978045,13.78800000000524,2%,9260
B,edge,data-009,False,2026-06-28T16:57:45.105255+00:00,103.70492935180664,101.65739059448242,104.91824150085449,106.79268836975098,7876,0.00843099999997321,0.005318000000002598,13.748999999975808,2%,9236
B,edge,data-010,False,2026-06-28T16:57:49.710602+00:00,103.6839485168457,101.72533988952637,104.98690605163574,106.37712478637695,7876,0.009152999999997746,0.004457999999999629,13.610999999997375,2%,9420
B,edge,data-011,False,2026-06-28T16:57:54.309051+00:00,103.55663299560547,101.52769088745117,104.82358932495117,106.35137557983398,7876,0.009776999999985492,0.003968999999997891,13.745999999983383,2%,9288
B,edge,data-012,False,2026-06-28T16:57:58.912713+00:00,103.57666015625,101.55606269836426,104.97450828552246,106.4608097076416,7876,0.006409999999988258,0.007366000000004647,13.775999999992905,2%,9312
B,edge,data-013,False,2026-06-28T16:58:03.509758+00:00,103.67202758789062,101.67360305786133,104.83765602111816,106.24313354492188,7876,0.010673999999994521,0.002793999999994412,13.467999999988933,2%,9340
B,edge,data-014,False,2026-06-28T16:58:08.119099+00:00,103.69658470153809,101.70412063598633,104.82120513916016,106.44316673278809,7876,0.009321999999997388,0.004029000000002725,13.351000000000113,2%,9216
B,edge,data-015,False,2026-06-28T16:58:12.727295+00:00,104.13384437561035,101.72390937805176,105.46374320983887,107.02919960021973,7876,0.01030099999999834,0.002758000000000038,13.058999999998377,2%,9224
B,edge,data-016,False,2026-06-28T16:58:17.342182+00:00,103.73306274414062,101.6538143157959,105.05056381225586,106.40358924865723,7876,0.010739000000000942,0.0029490000000009786,13.68800000000192,2%,9232
B,edge,data-017,False,2026-06-28T16:58:21.942148+00:00,103.67178916931152,101.69315338134766,104.89344596862793,106.35852813720703,7876,0.0075960000000065975,0.005758000000000152,13.35400000000675,2%,9472
B,edge,data-018,False,2026-06-28T16:58:26.545545+00:00,103.70111465454102,101.65047645568848,104.90107536315918,106.32753372192383,7876,0.008432999999996582,0.0052960000000013,13.728999999997882,2%,9248
B,edge,data-019,False,2026-06-28T16:58:31.146881+00:00,103.60407829284668,101.69744491577148,104.86340522766113,106.29892349243164,7876,0.009280000000018163,0.004074000000002798,13.35400000002096,2%,9372
B,edge,data-020,False,2026-06-28T16:58:35.758786+00:00,104.05778884887695,101.64618492126465,105.40461540222168,106.6734790802002,7876,0.007744000000002416,0.005593000000004622,13.337000000007038,2%,9200
B,edge_loss3,warmup-01,True,2026-06-28T16:58:40.873692+00:00,103.72424125671387,101.66287422180176,105.03363609313965,106.45318031311035,7876,0.009727000000026464,0.003912999999997169,13.640000000023633,2%,9196
B,edge_loss3,warmup-02,True,2026-06-28T16:58:45.479530+00:00,103.77192497253418,101.71294212341309,104.94422912597656,106.20403289794922,7876,0.010457999999999856,0.003010000000003288,13.468000000003144,2%,9232
B,edge_loss3,warmup-03,True,2026-06-28T16:58:50.083064+00:00,103.88827323913574,101.67169570922852,105.02123832702637,106.33063316345215,7876,0.008800000000007913,0.00499399999999639,13.794000000004303,2%,9320
B,edge_loss3,warmup-04,True,2026-06-28T16:58:55.103805+00:00,103.66225242614746,101.76253318786621,104.66647148132324,511.3198757171631,7876,0.005705000000006066,0.007291999999992527,12.996999999998593,1%,9284
B,edge_loss3,warmup-05,True,2026-06-28T16:58:59.705967+00:00,103.89518737792969,101.65858268737793,105.54957389831543,106.84776306152344,7876,0.00843600000001743,0.005232999999989829,13.669000000007259,2%,9400
B,edge_loss3,data-001,False,2026-06-28T16:59:04.311465+00:00,103.86133193969727,101.65023803710938,105.0713062286377,106.30226135253906,7876,0.008556999999996151,0.005229999999997403,13.786999999993554,2%,9232
B,edge_loss3,data-002,False,2026-06-28T16:59:08.918073+00:00,103.84726524353027,101.65786743164062,105.21578788757324,106.56237602233887,7876,0.009628999999961252,0.0037739999999928386,13.40299999995409,2%,9336
B,edge_loss3,data-003,False,2026-06-28T16:59:13.520495+00:00,103.76286506652832,101.6693115234375,104.7661304473877,106.1697006225586,7876,0.010018000000002303,0.0035120000000006257,13.530000000002929,2%,9340
B,edge_loss3,data-004,False,2026-06-28T16:59:18.120152+00:00,103.38592529296875,101.60303115844727,104.64072227478027,106.33492469787598,7876,0.009739000000024589,0.0038419999999916854,13.581000000016274,2%,9312
B,edge_loss3,data-005,False,2026-06-28T16:59:22.734474+00:00,103.82628440856934,101.66144371032715,105.28850555419922,106.60266876220703,7876,0.007260000000030686,0.006231000000013864,13.49100000004455,2%,9216
B,edge_loss3,data-006,False,2026-06-28T16:59:27.330116+00:00,103.63483428955078,101.65071487426758,104.99000549316406,106.6274642944336,7876,0.008194000000003143,0.0057910000000021,13.985000000005243,2%,9476
B,edge_loss3,data-007,False,2026-06-28T16:59:31.929190+00:00,104.43449020385742,101.65953636169434,105.54957389831543,106.903076171875,7876,0.004923000000019329,0.008632000000005746,13.555000000025075,2%,9304
B,edge_loss3,data-008,False,2026-06-28T16:59:36.527035+00:00,103.82890701293945,101.66501998901367,105.18407821655273,106.52303695678711,7876,0.007205999999996493,0.006280000000003838,13.486000000000331,2%,9336
B,edge_loss3,data-009,False,2026-06-28T16:59:42.170741+00:00,103.51443290710449,101.51553153991699,105.00001907348633,106.4915657043457,7876,0.006365000000016607,0.007205999999996493,13.5710000000131,0%,9176
B,edge_loss3,data-010,False,2026-06-28T16:59:46.773650+00:00,103.74832153320312,101.66501998901367,105.1638126373291,106.53352737426758,7876,0.009758999999974094,0.0036960000000050286,13.454999999979123,2%,9228
B,edge_loss3,data-011,False,2026-06-28T16:59:51.372945+00:00,103.66201400756836,101.68838500976562,105.11445999145508,106.47964477539062,7876,0.010748999999975695,0.002858000000003358,13.606999999979053,2%,9172
B,edge_loss3,data-012,False,2026-06-28T16:59:55.991696+00:00,103.80434989929199,101.65572166442871,105.14235496520996,106.51540756225586,7876,0.009404999999958363,0.004078999999990174,13.483999999948537,2%,9308
